,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,fg_percentage,made_three_point_field_goals,attempted_three_point_field_goals,three_point_percentage,made_free_throws,attempted_free_throws,free_throw_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,ppg
486,Matt Ryan,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25,Team.LOS_ANGELES_LAKERS,12,0,129,15,49,0.306,13,35,0.371,4,5,0.8,2,12,4,2,0,3,14,47,3.9
487,Matt Ryan,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25,Team.MINNESOTA_TIMBERWOLVES,22,0,181,25,59,0.424,19,49,0.388,6,7,0.857,2,10,12,3,1,4,13,75,3.4
488,Domantas Sabonis,[<Position.CENTER: 'CENTER'>],26,Team.SACRAMENTO_KINGS,79,79,2736,577,938,0.615,31,83,0.373,325,438,0.742,251,722,573,65,39,230,279,1510,19.1
489,Luka Šamanić,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23,Team.UTAH_JAZZ,7,4,161,26,57,0.456,8,31,0.258,9,13,0.692,0,30,15,6,2,10,17,69,9.9
490,Dario Šarić,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28,Team.PHOENIX_SUNS,37,12,533,76,178,0.427,27,69,0.391,36,44,0.818,39,103,57,13,5,36,69,215,5.8
491,Dario Šarić,[<Position.CENTER: 'CENTER'>],28,Team.OKLAHOMA_CITY_THUNDER,20,0,273,51,99,0.515,18,46,0.391,27,32,0.844,14,51,17,7,2,19,30,147,7.4
492,Olivier Sarr,[<Position.CENTER: 'CENTER'>],23,Team.OKLAHOMA_CITY_THUNDER,9,1,114,15,30,0.5,1,8,0.125,5,7,0.714,12,19,4,1,5,4,17,36,4.0
493,Jordan Schakel,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24,Team.WASHINGTON_WIZARDS,2,0,6,1,2,0.5,1,1,1.0,0,0,,0,0,1,1,0,0,1,3,1.5
494,Admiral Schofield,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25,Team.ORLANDO_MAGIC,37,0,451,55,122,0.451,24,74,0.324,21,23,0.913,23,39,31,8,5,16,61,155,4.2
495,Dennis Schröder,[<Position.POINT_GUARD: 'POINT GUARD'>],29,Team.LOS_ANGELES_LAKERS,66,50,1986,270,650,0.415,74,225,0.329,216,252,0.857,21,144,298,50,10,112,145,830,12.6
496,Jay Scrubb,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22,Team.ORLANDO_MAGIC,2,0,30,5,7,0.714,2,2,1.0,1,2,0.5,0,6,1,2,0,3,2,13,6.5
497,Dereon Seabron,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22,Team.NEW_ORLEANS_PELICANS,5,0,12,2,5,0.4,0,0,,0,0,,1,0,0,0,0,0,1,4,0.8
498,Alperen Şengün,[<Position.CENTER: 'CENTER'>],20,Team.HOUSTON_ROCKETS,75,72,2171,442,799,0.553,19,57,0.333,206,288,0.715,242,436,291,70,70,193,258,1109,14.8
499,Collin Sexton,[<Position.POINT_GUARD: 'POINT GUARD'>],24,Team.UTAH_JAZZ,48,15,1145,237,468,0.506,48,122,0.393,163,199,0.819,37,68,138,27,6,85,112,685,14.3
500,Landry Shamet,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,Team.PHOENIX_SUNS,40,9,807,113,300,0.377,75,199,0.377,45,51,0.882,11,56,93,26,5,36,61,346,8.6
501,Day'Ron Sharpe,[<Position.CENTER: 'CENTER'>],21,Team.BROOKLYN_NETS,48,3,552,93,171,0.544,6,11,0.545,35,55,0.636,99,101,37,15,32,42,89,227,4.7
502,Shaedon Sharpe,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19,Team.PORTLAND_TRAIL_BLAZERS,80,15,1779,306,648,0.472,102,283,0.36,75,105,0.714,63,173,94,38,24,83,136,789,9.9
503,Pascal Siakam,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28,Team.TORONTO_RAPTORS,71,71,2652,630,1313,0.48,93,287,0.324,367,474,0.774,131,425,415,65,36,169,228,1720,24.2
504,Chris Silva,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26,Team.DALLAS_MAVERICKS,1,0,3,1,1,1.0,0,0,,0,0,,0,0,0,0,0,1,2,2,2.0
505,Ben Simmons,[<Position.POINT_GUARD: 'POINT GUARD'>],26,Team.BROOKLYN_NETS,42,33,1105,133,235,0.566,0,2,0.0,25,57,0.439,40,223,256,54,24,97,139,291,6.9
506,Kobi Simmons,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,Team.CHARLOTTE_HORNETS,5,0,28,1,6,0.167,1,5,0.2,2,2,1.0,1,3,5,0,2,1,0,5,1.0
507,Marko Simonovic,[<Position.CENTER: 'CENTER'>],23,Team.CHICAGO_BULLS,7,0,20,2,7,0.286,1,4,0.25,1,2,0.5,1,1,0,0,0,0,5,6,0.9
508,Anfernee Simons,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23,Team.PORTLAND_TRAIL_BLAZERS,62,62,2171,467,1045,0.447,212,562,0.377,160,179,0.894,18,143,253,42,14,128,142,1306,21.1
509,Jericho Sims,[<Position.CENTER: 'CENTER'>],24,Team.NEW_YORK_KNICKS,52,16,812,83,107,0.776,0,1,0.0,12,16,0.75,99,143,25,15,28,27,96,178,3.4
510,Marcus Smart,[<Position.POINT_GUARD: 'POINT GUARD'>],28,Team.BOSTON_CELTICS,61,61,1957,250,602,0.415,115,342,0.336,88,118,0.746,46,145,382,93,23,143,172,703,11.5
511,Dennis Smith Jr.,[<Position.POINT_GUARD: 'POINT GUARD'>],25,Team.CHARLOTTE_HORNETS,54,15,1390,186,452,0.412,24,111,0.216,78,106,0.736,27,140,261,75,25,82,122,474,8.8
512,Dru Smith,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,Team.MIAMI_HEAT,5,1,67,5,14,0.357,1,6,0.167,0,0,,1,8,5,4,3,1,10,11,2.2
513,Dru Smith,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,Team.BROOKLYN_NETS,10,0,91,13,31,0.419,4,13,0.308,3,3,1.0,1,14,17,6,1,2,13,33,3.3
514,Ish Smith,[<Position.POINT_GUARD: 'POINT GUARD'>],34,Team.DENVER_NUGGETS,43,0,398,52,131,0.397,2,12,0.167,2,4,0.5,5,49,100,8,7,44,33,108,2.5
515,Jabari Smith Jr.,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19,Team.HOUSTON_ROCKETS,79,79,2451,364,892,0.408,120,391,0.307,162,206,0.786,122,447,101,43,74,104,227,1010,12.8
516,Jalen Smith,[<Position.CENTER: 'CENTER'>],22,Team.INDIANA_PACERS,68,31,1279,242,508,0.476,54,191,0.283,104,137,0.759,129,265,66,21,60,72,153,642,9.4
517,Xavier Sneed,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25,Team.CHARLOTTE_HORNETS,4,0,48,5,10,0.5,3,6,0.5,4,4,1.0,0,5,5,0,1,3,7,17,4.2
518,Jeremy Sochan,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19,Team.SAN_ANTONIO_SPURS,56,53,1458,250,552,0.453,33,134,0.246,81,116,0.698,95,200,142,43,23,97,138,614,11.0
519,Jaden Springer,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20,Team.PHILADELPHIA_76ERS,16,2,89,17,35,0.486,2,5,0.4,6,8,0.75,6,8,8,7,3,3,15,42,2.6
520,Lamar Stevens,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25,Team.CLEVELAND_CAVALIERS,62,25,1120,129,288,0.448,30,95,0.316,40,57,0.702,48,159,33,27,19,27,79,328,5.3
521,Isaiah Stewart,[<Position.CENTER: 'CENTER'>],21,Team.DETROIT_PISTONS,50,47,1414,195,441,0.442,67,205,0.327,110,149,0.738,115,288,70,20,34,68,133,567,11.3
522,Max Strus,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26,Team.MIAMI_HEAT,80,33,2272,324,790,0.41,197,563,0.35,78,89,0.876,49,209,171,42,12,70,166,923,11.5
523,Jalen Suggs,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21,Team.ORLANDO_MAGIC,53,19,1246,186,444,0.419,66,202,0.327,86,119,0.723,55,106,155,67,27,94,120,524,9.9
524,Edmond Sumner,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27,Team.BROOKLYN_NETS,53,12,736,124,269,0.461,31,87,0.356,99,108,0.917,13,66,68,31,10,50,83,378,7.1
525,Cole Swider,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23,Team.LOS_ANGELES_LAKERS,7,0,41,3,9,0.333,3,8,0.375,0,0,,1,6,4,0,0,0,3,9,1.3
526,Jae'Sean Tate,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27,Team.HOUSTON_ROCKETS,31,7,677,110,229,0.48,13,46,0.283,50,69,0.725,41,77,84,21,7,47,106,283,9.1
527,Jayson Tatum,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24,Team.BOSTON_CELTICS,74,74,2732,727,1559,0.466,240,686,0.35,531,622,0.854,78,571,342,78,51,213,160,2225,30.1
528,Terry Taylor,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23,Team.INDIANA_PACERS,26,2,228,30,65,0.462,4,18,0.222,5,7,0.714,22,17,10,3,5,9,24,69,2.7
529,Terry Taylor,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23,Team.CHICAGO_BULLS,5,0,36,9,10,0.9,1,1,1.0,1,4,0.25,5,3,0,0,1,0,2,20,4.0
530,Garrett Temple,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],36,Team.NEW_ORLEANS_PELICANS,25,0,162,18,45,0.4,11,26,0.423,3,4,0.75,5,12,13,9,2,4,15,50,2.0
531,Dalen Terry,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20,Team.CHICAGO_BULLS,38,0,214,32,72,0.444,7,27,0.259,14,21,0.667,12,25,22,11,5,8,24,85,2.2
532,Daniel Theis,[<Position.CENTER: 'CENTER'>],30,Team.INDIANA_PACERS,7,1,109,21,44,0.477,2,11,0.182,5,12,0.417,7,15,9,2,6,3,7,49,7.0
533,Cam Thomas,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21,Team.BROOKLYN_NETS,57,4,948,201,456,0.441,51,133,0.383,151,174,0.868,8,87,78,20,7,63,55,604,10.6
534,Klay Thompson,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],32,Team.GOLDEN_STATE_WARRIORS,69,69,2279,546,1252,0.436,301,731,0.412,116,132,0.879,39,247,163,49,29,123,130,1509,21.9
535,JT Thor,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20,Team.CHARLOTTE_HORNETS,69,8,969,95,238,0.399,39,123,0.317,33,47,0.702,36,116,36,22,23,44,66,262,3.8
536,Matisse Thybulle,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25,Team.PHILADELPHIA_76ERS,49,6,591,50,116,0.431,21,63,0.333,9,12,0.75,20,43,23,45,14,8,65,130,2.7
537,Matisse Thybulle,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,Team.PORTLAND_TRAIL_BLAZERS,22,22,609,60,137,0.438,33,85,0.388,10,16,0.625,20,57,30,38,18,16,48,163,7.4
538,Xavier Tillman Sr.,[<Position.CENTER: 'CENTER'>],24,Team.MEMPHIS_GRIZZLIES,61,29,1180,188,306,0.614,4,15,0.267,49,89,0.551,121,186,96,58,29,44,97,429,7.0
539,Isaiah Todd,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21,Team.WASHINGTON_WIZARDS,6,1,61,3,19,0.158,1,10,0.1,2,2,1.0,2,10,4,1,0,2,4,9,1.5
540,Obi Toppin,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24,Team.NEW_YORK_KNICKS,67,5,1050,187,419,0.446,85,247,0.344,38,47,0.809,29,158,66,23,12,38,68,497,7.4
541,Juan Toscano-Anderson,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29,Team.LOS_ANGELES_LAKERS,30,7,365,33,66,0.5,4,20,0.2,11,15,0.733,14,47,25,10,7,17,46,81,2.7
542,Juan Toscano-Anderson,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29,Team.UTAH_JAZZ,22,2,335,31,77,0.403,4,23,0.174,8,9,0.889,14,49,40,6,3,17,34,74,3.4
543,Karl-Anthony Towns,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27,Team.MINNESOTA_TIMBERWOLVES,29,29,957,212,428,0.495,60,164,0.366,118,135,0.874,48,188,140,20,17,86,111,602,20.8
544,Gary Trent Jr.,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24,Team.TORONTO_RAPTORS,66,44,2118,405,935,0.433,166,450,0.369,172,205,0.839,30,143,106,104,14,55,102,1148,17.4
545,P.J. Tucker,[<Position.POWER_FORWARD: 'POWER FORWARD'>],37,Team.PHILADELPHIA_76ERS,75,75,1920,96,225,0.427,55,140,0.393,19,23,0.826,95,200,60,39,15,44,180,266,3.5
546,Myles Turner,[<Position.CENTER: 'CENTER'>],26,Team.INDIANA_PACERS,62,62,1825,402,733,0.548,93,249,0.373,216,276,0.783,88,378,89,36,140,103,215,1113,18.0
547,Stanley Umude,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23,Team.DETROIT_PISTONS,1,0,2,0,1,0.0,0,1,0.0,2,2,1.0,0,0,0,1,1,0,0,2,2.0
548,Jonas Valančiūnas,[<Position.CENTER: 'CENTER'>],30,Team.NEW_ORLEANS_PELICANS,79,79,1968,446,816,0.547,38,109,0.349,185,224,0.826,225,579,140,20,52,159,245,1115,14.1
549,Jarred Vanderbilt,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23,Team.UTAH_JAZZ,52,41,1254,173,311,0.556,19,57,0.333,67,102,0.657,121,288,142,53,15,68,133,432,8.3
550,Jarred Vanderbilt,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23,Team.LOS_ANGELES_LAKERS,26,24,625,74,140,0.529,10,33,0.303,29,37,0.784,49,124,42,30,6,29,57,187,7.2
551,Fred VanVleet,[<Position.POINT_GUARD: 'POINT GUARD'>],28,Team.TORONTO_RAPTORS,69,69,2535,437,1112,0.393,207,606,0.342,254,283,0.898,30,250,495,123,38,140,193,1335,19.3
552,Devin Vassell,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22,Team.SAN_ANTONIO_SPURS,38,32,1178,261,595,0.439,103,266,0.387,78,100,0.78,8,140,136,43,17,57,57,703,18.5
553,Gabe Vincent,[<Position.POINT_GUARD: 'POINT GUARD'>],26,Team.MIAMI_HEAT,68,34,1759,228,567,0.402,117,350,0.334,68,78,0.872,27,118,167,62,5,92,154,641,9.4
554,Noah Vonleh,[<Position.CENTER: 'CENTER'>],27,Team.BOSTON_CELTICS,23,1,171,11,24,0.458,1,4,0.25,2,2,1.0,18,30,7,2,8,11,35,25,1.1
555,Nikola Vučević,[<Position.CENTER: 'CENTER'>],32,Team.CHICAGO_BULLS,82,82,2746,597,1148,0.52,121,347,0.349,132,158,0.835,159,744,265,60,57,139,179,1447,17.6
556,Dean Wade,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26,Team.CLEVELAND_CAVALIERS,44,13,891,73,177,0.412,45,127,0.354,15,23,0.652,20,130,37,28,21,17,89,206,4.7
557,Franz Wagner,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21,Team.ORLANDO_MAGIC,80,80,2609,542,1118,0.485,130,360,0.361,271,322,0.842,70,259,283,77,17,167,183,1485,18.6
558,Moritz Wagner,[<Position.CENTER: 'CENTER'>],25,Team.ORLANDO_MAGIC,57,18,1109,198,396,0.5,51,163,0.313,153,182,0.841,69,190,84,37,13,68,136,600,10.5
559,Ish Wainright,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28,Team.PHOENIX_SUNS,60,2,915,84,227,0.37,57,173,0.329,26,31,0.839,45,94,53,38,22,22,117,251,4.2
560,Jabari Walker,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20,Team.PORTLAND_TRAIL_BLAZERS,56,0,619,83,198,0.419,16,56,0.286,34,45,0.756,48,83,34,10,13,29,69,216,3.9
561,Kemba Walker,[<Position.POINT_GUARD: 'POINT GUARD'>],32,Team.DALLAS_MAVERICKS,9,1,144,24,57,0.421,7,28,0.25,17,21,0.81,3,13,19,2,2,4,11,72,8.0
562,Lonnie Walker IV,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24,Team.LOS_ANGELES_LAKERS,56,32,1297,236,527,0.448,91,249,0.365,91,106,0.858,14,95,64,30,17,46,71,654,11.7
563,John Wall,[<Position.POINT_GUARD: 'POINT GUARD'>],32,Team.LOS_ANGELES_CLIPPERS,34,3,755,138,338,0.408,33,109,0.303,77,113,0.681,14,78,178,27,12,80,59,386,11.4
564,T.J. Warren,[<Position.POWER_FORWARD: 'POWER FORWARD'>],29,Team.BROOKLYN_NETS,26,0,490,102,200,0.51,16,48,0.333,27,33,0.818,13,59,29,15,7,17,45,247,9.5
565,T.J. Warren,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29,Team.PHOENIX_SUNS,16,0,197,30,70,0.429,6,19,0.316,1,2,0.5,13,36,11,7,5,3,20,67,4.2
566,Duane Washington Jr.,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22,Team.PHOENIX_SUNS,31,3,394,94,256,0.367,40,111,0.36,16,24,0.667,2,34,63,6,4,34,23,244,7.9
567,P.J. Washington,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24,Team.CHARLOTTE_HORNETS,73,73,2380,434,978,0.444,149,428,0.348,127,174,0.73,73,285,175,66,79,110,193,1144,15.7
568,TyTy Washington Jr.,[<Position.POINT_GUARD: 'POINT GUARD'>],21,Team.HOUSTON_ROCKETS,31,2,433,58,160,0.362,19,80,0.238,10,18,0.556,2,43,47,15,2,14,29,145,4.7
569,Yuta Watanabe,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28,Team.BROOKLYN_NETS,58,1,928,114,232,0.491,60,135,0.444,34,47,0.723,30,111,48,25,17,22,80,322,5.6
570,Lindy Waters III,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,Team.OKLAHOMA_CITY_THUNDER,41,0,531,70,178,0.393,58,162,0.358,16,20,0.8,16,59,28,14,11,10,42,214,5.2
571,Trendon Watford,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22,Team.PORTLAND_TRAIL_BLAZERS,62,12,1182,181,323,0.56,25,64,0.391,72,100,0.72,42,196,130,32,12,71,118,459,7.4
572,Peyton Watson,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20,Team.DENVER_NUGGETS,23,2,186,29,59,0.492,6,14,0.429,11,20,0.55,8,29,11,2,11,8,14,75,3.3
573,Blake Wesley,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19,Team.SAN_ANTONIO_SPURS,37,1,669,69,215,0.321,20,52,0.385,26,44,0.591,11,70,99,25,5,65,67,184,5.0
574,Russell Westbrook,[<Position.POINT_GUARD: 'POINT GUARD'>],34,Team.LOS_ANGELES_LAKERS,52,3,1491,304,729,0.417,63,213,0.296,156,238,0.655,59,262,391,53,23,184,121,827,15.9
575,Russell Westbrook,[<Position.POINT_GUARD: 'POINT GUARD'>],34,Team.LOS_ANGELES_CLIPPERS,21,21,635,128,262,0.489,26,73,0.356,50,76,0.658,30,72,160,23,10,71,41,332,15.8
576,Coby White,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22,Team.CHICAGO_BULLS,74,2,1730,263,594,0.443,128,344,0.372,61,70,0.871,16,196,204,54,6,74,122,715,9.7
577,Derrick White,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28,Team.BOSTON_CELTICS,82,70,2319,350,758,0.462,149,391,0.381,168,192,0.875,52,241,321,54,76,95,177,1017,12.4
578,Jack White,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25,Team.DENVER_NUGGETS,17,0,66,8,19,0.421,3,9,0.333,2,3,0.667,6,11,4,3,2,2,9,21,1.2
579,Joe Wieskamp,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23,Team.TORONTO_RAPTORS,9,0,50,3,14,0.214,3,12,0.25,0,0,,0,4,3,0,0,1,3,9,1.0
580,Aaron Wiggins,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24,Team.OKLAHOMA_CITY_THUNDER,70,14,1297,186,363,0.512,48,122,0.393,59,71,0.831,68,142,80,39,15,55,110,479,6.8
581,Andrew Wiggins,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27,Team.GOLDEN_STATE_WARRIORS,37,37,1190,250,529,0.473,89,225,0.396,44,72,0.611,61,125,85,45,28,48,107,633,17.1
582,Lindell Wigginton,[<Position.POINT_GUARD: 'POINT GUARD'>],24,Team.MILWAUKEE_BUCKS,7,1,87,18,37,0.486,6,18,0.333,8,9,0.889,0,7,14,0,2,12,7,50,7.1
583,Alondes Williams,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23,Team.BROOKLYN_NETS,1,0,5,0,0,,0,0,,0,0,,0,1,0,0,0,2,1,0,0.0
584,Donovan Williams,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21,Team.ATLANTA_HAWKS,2,0,4,2,5,0.4,0,2,0.0,0,0,,0,2,0,0,0,0,0,4,2.0
585,Grant Williams,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24,Team.BOSTON_CELTICS,79,23,2045,216,476,0.454,115,291,0.395,94,122,0.77,87,276,131,41,31,82,192,641,8.1
586,Jalen Williams,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21,Team.OKLAHOMA_CITY_THUNDER,75,62,2276,414,794,0.521,73,205,0.356,155,191,0.812,84,253,248,103,35,123,191,1056,14.1
587,Jaylin Williams,[<Position.CENTER: 'CENTER'>],20,Team.OKLAHOMA_CITY_THUNDER,49,36,914,102,234,0.436,46,113,0.407,38,54,0.704,44,197,76,28,12,37,111,288,5.9
588,Jeenathan Williams,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23,Team.PORTLAND_TRAIL_BLAZERS,5,4,127,24,39,0.615,3,8,0.375,2,3,0.667,10,5,10,3,2,4,13,53,10.6
589,Kenrich Williams,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28,Team.OKLAHOMA_CITY_THUNDER,53,10,1206,179,346,0.517,50,134,0.373,17,39,0.436,97,164,105,45,14,32,112,425,8.0
590,Mark Williams,[<Position.CENTER: 'CENTER'>],21,Team.CHARLOTTE_HORNETS,43,17,828,160,251,0.637,0,0,,67,97,0.691,93,211,18,28,45,40,94,387,9.0
591,Patrick Williams,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21,Team.CHICAGO_BULLS,82,65,2323,314,677,0.464,115,277,0.415,90,105,0.857,78,249,100,72,70,101,147,833,10.2
592,Robert Williams,[<Position.CENTER: 'CENTER'>],25,Team.BOSTON_CELTICS,35,20,824,127,170,0.747,0,1,0.0,25,41,0.61,104,188,50,22,48,34,68,279,8.0
593,Vince Williams Jr.,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22,Team.MEMPHIS_GRIZZLIES,15,1,105,12,40,0.3,4,28,0.143,2,2,1.0,4,11,4,6,2,5,12,30,2.0
594,Ziaire Williams,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21,Team.MEMPHIS_GRIZZLIES,37,4,561,84,196,0.429,25,97,0.258,17,22,0.773,16,63,35,14,6,37,58,210,5.7
595,Zion Williamson,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22,Team.NEW_ORLEANS_PELICANS,29,29,956,285,469,0.608,7,19,0.368,177,248,0.714,58,144,133,32,16,99,65,754,26.0
596,Dylan Windler,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26,Team.CLEVELAND_CAVALIERS,3,0,10,2,3,0.667,1,2,0.5,0,0,,0,0,1,1,0,1,0,5,1.7
597,Justise Winslow,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26,Team.PORTLAND_TRAIL_BLAZERS,29,11,776,81,198,0.409,14,45,0.311,20,28,0.714,49,96,98,30,11,43,89,196,6.8
598,James Wiseman,[<Position.CENTER: 'CENTER'>],21,Team.GOLDEN_STATE_WARRIORS,21,0,262,59,94,0.628,1,2,0.5,26,38,0.684,18,55,14,3,7,14,39,145,6.9
599,James Wiseman,[<Position.CENTER: 'CENTER'>],21,Team.DETROIT_PISTONS,24,22,605,130,245,0.531,3,18,0.167,42,59,0.712,55,139,16,4,20,37,69,305,12.7
600,Christian Wood,[<Position.CENTER: 'CENTER'>],27,Team.DALLAS_MAVERICKS,67,17,1738,396,769,0.515,105,279,0.376,217,281,0.772,87,404,121,30,72,121,169,1114,16.6
601,Delon Wright,[<Position.POINT_GUARD: 'POINT GUARD'>],30,Team.WASHINGTON_WIZARDS,50,14,1221,138,291,0.474,41,119,0.345,52,60,0.867,58,122,194,92,17,44,59,369,7.4
602,McKinley Wright IV,[<Position.POINT_GUARD: 'POINT GUARD'>],24,Team.DALLAS_MAVERICKS,27,1,335,46,98,0.469,9,28,0.321,13,19,0.684,9,38,58,8,5,19,24,114,4.2
603,Gabe York,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29,Team.INDIANA_PACERS,3,0,56,8,21,0.381,6,18,0.333,2,2,1.0,0,6,5,2,0,0,5,24,8.0
604,Thaddeus Young,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34,Team.TORONTO_RAPTORS,54,9,795,108,198,0.545,6,34,0.176,18,26,0.692,71,95,75,54,5,42,88,240,4.4
605,Trae Young,[<Position.POINT_GUARD: 'POINT GUARD'>],24,Team.ATLANTA_HAWKS,73,73,2541,597,1390,0.429,154,460,0.335,566,639,0.886,56,161,741,80,9,300,104,1914,26.2
606,Omer Yurtseven,[<Position.CENTER: 'CENTER'>],24,Team.MIAMI_HEAT,9,0,83,16,27,0.593,3,7,0.429,5,6,0.833,8,15,2,2,2,4,16,40,4.4
607,Cody Zeller,[<Position.CENTER: 'CENTER'>],30,Team.MIAMI_HEAT,15,2,217,37,59,0.627,0,2,0.0,24,35,0.686,25,39,10,3,4,14,33,98,6.5
608,Ivica Zubac,[<Position.CENTER: 'CENTER'>],25,Team.LOS_ANGELES_CLIPPERS,76,76,2170,326,514,0.634,0,2,0.0,166,238,0.697,236,520,77,29,98,117,219,818,10.8
